trade_week,操作,ETF名称,ts_code,板块,上周权重(%),本周权重(%),Δ权重(pp),Gate,Regime_csi
2020-01-23,🟡 REBAL,医药ETF,512010.SH,医疗,19.67,19.71,0.04,RISK-ON,OFF
2020-01-23,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,19.67,19.71,0.04,RISK-ON,OFF
2020-01-23,🟢 BUY,军工ETF,512660.SH,高端制造,0.0,19.71,19.71,RISK-ON,OFF
2020-01-23,🔴 SELL,酒ETF,512690.SH,大消费,19.67,0.0,-19.67,RISK-ON,OFF
2020-01-23,🟡 REBAL,通信ETF,515880.SH,通信光模块,19.67,19.71,0.04,RISK-ON,OFF
2020-02-07,🟢 BUY,黄金ETF,159934.SZ,周期资源,0.0,9.97,9.97,RISK-ON,OFF
2020-02-07,🟡 REBAL,医药ETF,512010.SH,医疗,19.71,19.95,0.24,RISK-ON,OFF
2020-02-07,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,19.71,19.95,0.24,RISK-ON,OFF
2020-02-07,🟡 REBAL,军工ETF,512660.SH,高端制造,19.71,19.95,0.24,RISK-ON,OFF
2020-02-07,🟡 REBAL,通信ETF,515880.SH,通信光模块,19.71,9.97,-9.74,RISK-ON,OFF
2020-02-14,🟡 REBAL,黄金ETF,159934.SZ,周期资源,9.97,10.18,0.21,RISK-ON,OFF
2020-02-14,🟡 REBAL,医药ETF,512010.SH,医疗,19.95,20.36,0.41,RISK-ON,OFF
2020-02-14,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,19.95,20.36,0.41,RISK-ON,OFF
2020-02-14,🟡 REBAL,军工ETF,512660.SH,高端制造,19.95,20.36,0.41,RISK-ON,OFF
2020-02-14,🟡 REBAL,通信ETF,515880.SH,通信光模块,9.97,10.18,0.21,RISK-ON,OFF
2020-02-21,🟡 REBAL,黄金ETF,159934.SZ,周期资源,10.18,7.91,-2.27,RISK-ON,OFF
2020-02-21,🟡 REBAL,医药ETF,512010.SH,医疗,20.36,7.91,-12.45,RISK-ON,OFF
2020-02-21,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,20.36,15.82,-4.54,RISK-ON,OFF
2020-02-21,🟡 REBAL,军工ETF,512660.SH,高端制造,20.36,15.82,-4.54,RISK-ON,OFF
2020-02-21,🟡 REBAL,通信ETF,515880.SH,通信光模块,10.18,15.82,5.64,RISK-ON,OFF
2020-02-28,🟡 REBAL,黄金ETF,159934.SZ,周期资源,7.91,14.11,6.19,RISK-ON,OFF
2020-02-28,🔴 SELL,医药ETF,512010.SH,医疗,7.91,0.0,-7.91,RISK-ON,OFF
2020-02-28,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,15.82,14.11,-1.72,RISK-ON,OFF
2020-02-28,🟡 REBAL,军工ETF,512660.SH,高端制造,15.82,14.11,-1.72,RISK-ON,OFF
2020-02-28,🟡 REBAL,通信ETF,515880.SH,通信光模块,15.82,14.11,-1.72,RISK-ON,OFF
2020-03-06,🔴 SELL,黄金ETF,159934.SZ,周期资源,14.11,0.0,-14.11,RISK-ON,OFF
2020-03-06,🟢 BUY,房地产ETF,512200.SH,地产链,0.0,14.17,14.17,RISK-ON,OFF
2020-03-06,🔴 SELL,半导体ETF,512480.SH,半导体芯片,14.11,0.0,-14.11,RISK-ON,OFF
2020-03-06,🟡 REBAL,军工ETF,512660.SH,高端制造,14.11,14.17,0.07,RISK-ON,OFF
2020-03-06,🟢 BUY,酒ETF,512690.SH,大消费,0.0,7.09,7.09,RISK-ON,OFF
2020-03-06,🟢 BUY,证券ETF,512880.SH,大金融,0.0,7.09,7.09,RISK-ON,OFF
2020-03-06,🟡 REBAL,通信ETF,515880.SH,通信光模块,14.11,14.17,0.07,RISK-ON,OFF
2020-03-13,🟢 BUY,黄金ETF,159934.SZ,周期资源,0.0,6.92,6.92,RISK-ON,OFF
2020-03-13,🟡 REBAL,房地产ETF,512200.SH,地产链,14.17,6.92,-7.25,RISK-ON,OFF
2020-03-13,🟡 REBAL,军工ETF,512660.SH,高端制造,14.17,13.84,-0.33,RISK-ON,OFF
2020-03-13,🟡 REBAL,酒ETF,512690.SH,大消费,7.09,6.92,-0.17,RISK-ON,OFF
2020-03-13,🟡 REBAL,证券ETF,512880.SH,大金融,7.09,6.92,-0.17,RISK-ON,OFF
2020-03-13,🟡 REBAL,通信ETF,515880.SH,通信光模块,14.17,13.84,-0.33,RISK-ON,OFF
2020-03-20,🟡 REBAL,黄金ETF,159934.SZ,周期资源,6.92,49.9,42.98,RISK-OFF,OFF
2020-03-20,🔴 SELL,房地产ETF,512200.SH,地产链,6.92,0.0,-6.92,RISK-OFF,OFF
2020-03-20,🔴 SELL,军工ETF,512660.SH,高端制造,13.84,0.0,-13.84,RISK-OFF,OFF
2020-03-20,🔴 SELL,酒ETF,512690.SH,大消费,6.92,0.0,-6.92,RISK-OFF,OFF
2020-03-20,🔴 SELL,证券ETF,512880.SH,大金融,6.92,0.0,-6.92,RISK-OFF,OFF
