trade_week,Gate,Regime_csi,scale,持仓数,总仓位(%),换手率(%),主导板块,主导板块权重(%),周收益(%),成本(bps),NAV
2019-06-21,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,2.1021,0.0,1.104
2019-06-28,RISK-ON,ON,1.0,4,50.0,62.5,周期资源,12.5,0.9477,0.0,1.1145
2019-07-05,RISK-ON,ON,1.0,4,50.0,12.5,医疗,12.5,0.5522,3.12,1.1206
2019-07-12,RISK-ON,ON,1.0,4,50.0,12.5,周期资源,12.5,-1.1807,0.62,1.1074
2019-07-19,RISK-ON,ON,1.0,4,50.0,12.5,周期资源,12.5,0.4586,0.62,1.1125
2019-07-26,RISK-ON,ON,1.0,4,50.0,0.0,周期资源,12.5,0.1947,0.62,1.1146
2019-08-02,RISK-ON,ON,1.0,1,50.0,37.5,周期资源,50.0,-1.1573,0.0,1.1018
2019-08-09,RISK-ON,OFF,1.0,4,100.0,25.0,周期资源,62.5,3.417,1.88,1.1394
2019-08-16,RISK-ON,OFF,1.0,5,100.0,45.83,医疗,29.17,0.997,1.25,1.1508
2019-08-23,RISK-ON,OFF,1.0,4,100.0,12.5,周期资源,29.17,3.0607,2.29,1.186
2019-08-30,RISK-ON,OFF,1.0,5,100.0,25.0,医疗,25.0,2.7948,0.62,1.2191
2019-09-06,RISK-ON,OFF,1.0,4,100.0,25.0,医疗,25.0,1.4789,1.25,1.2372
2019-09-12,RISK-ON,OFF,1.0,5,100.0,37.5,地产链,25.0,-0.2127,1.25,1.2345
2019-09-20,RISK-ON,OFF,1.0,5,100.0,25.0,医疗,25.0,-0.8452,1.88,1.2241
2019-09-27,RISK-ON,OFF,1.0,5,100.0,37.5,地产链,29.17,-3.6672,1.25,1.1792
2019-09-30,RISK-ON,OFF,1.0,4,50.0,37.5,地产链,12.5,-1.2804,1.87,1.1641
2019-10-11,RISK-ON,OFF,1.0,5,100.0,37.5,医疗,29.17,1.1069,1.87,1.177
2019-10-18,RISK-ON,OFF,1.0,4,100.0,33.33,医疗,62.5,-0.3958,1.87,1.1723
2019-10-25,RISK-ON,OFF,1.0,4,100.0,33.33,医疗,29.17,0.5595,1.67,1.1789
2019-11-01,RISK-ON,OFF,1.0,4,100.0,12.5,医疗,25.0,1.4021,1.67,1.1954
2019-11-08,RISK-ON,OFF,1.0,4,100.0,37.5,医疗,29.17,0.5347,0.62,1.2018
2019-11-15,RISK-ON,OFF,1.0,4,100.0,0.0,医疗,29.17,0.9478,1.87,1.2132
2019-11-22,RISK-ON,OFF,1.0,4,100.0,12.5,医疗,29.17,-1.8816,0.0,1.1904
2019-11-29,RISK-ON,OFF,0.9843,4,98.43,45.44,半导体芯片,61.52,-1.1372,0.62,1.1768
2019-12-06,RISK-ON,OFF,0.8096,6,80.96,36.91,半导体芯片,20.24,6.7632,2.27,1.2564
2019-12-13,RISK-ON,OFF,0.8071,4,80.71,30.3,地产链,20.18,1.7911,1.85,1.2789
2019-12-20,RISK-ON,OFF,0.8148,5,81.48,10.38,地产链,20.37,0.6744,1.51,1.2876
2019-12-27,RISK-ON,OFF,0.8098,5,80.98,10.38,地产链,20.24,-0.4673,0.52,1.2815
2020-01-03,RISK-ON,OFF,0.7794,5,77.94,1.52,地产链,19.49,2.8671,0.52,1.3183
2020-01-10,RISK-ON,OFF,0.7911,4,79.11,39.56,半导体芯片,19.78,1.0658,0.08,1.3323
2020-01-17,RISK-ON,OFF,0.7869,4,78.69,19.89,医疗,19.67,1.5558,1.98,1.3531
2020-01-23,RISK-ON,OFF,0.7885,4,78.85,19.75,医疗,19.71,0.6186,0.99,1.3614
2020-02-07,RISK-ON,OFF,0.7979,5,79.79,10.21,医疗,19.95,-0.3012,0.99,1.3573
2020-02-14,RISK-ON,OFF,0.8144,5,81.44,0.82,医疗,20.36,1.8638,0.51,1.3826
