trade_week,equity
2022-12-16,2.20800379190773
2022-12-23,2.226797737002637
2022-12-30,2.2461611955852683
2023-01-06,2.2410355741957484
2023-01-13,2.2706502755574203
2023-01-20,2.3122247601613055
2023-02-03,2.371270650929691
2023-02-10,2.380521365670215
2023-02-17,2.336336476731106
2023-02-24,2.3707518674459194
2023-03-03,2.4410636115575963
2023-03-10,2.341193333594113
2023-03-17,2.4209503828494023
2023-03-24,2.4617164096519333
2023-03-31,2.52310873104257
2023-04-07,2.6798935039231693
2023-04-14,2.620821424618971
2023-04-21,2.5720826606231366
2023-04-28,2.638248231142386
2023-05-05,2.672197095128926
2023-05-12,2.65168489057765
2023-05-19,2.632690742999044
2023-05-26,2.6249961393710257
2023-06-02,2.6534096540703143
2023-06-09,2.654306398371386
2023-06-16,2.652513857707559
2023-06-21,2.658318235182542
2023-06-30,2.656870731868194
2023-07-07,2.6587026182985136
2023-07-14,2.6719687436315653
2023-07-21,2.700841827184346
2023-07-28,2.68121858519039
2023-08-04,2.7098437392330634
2023-08-11,2.6288699752966687
2023-08-18,2.6308491607465205
2023-08-25,2.642332801958891
2023-09-01,2.6585332286786203
2023-09-08,2.677243844660349
2023-09-15,2.692806496488313
2023-09-22,2.693767736647795
2023-09-28,2.633355957257862
2023-10-13,2.6186903087780533
2023-10-20,2.73203362479147
2023-10-27,2.7297036066081746
2023-11-03,2.7380799415111574
2023-11-10,2.7038614462982364
2023-11-17,2.7152676113692102
2023-11-24,2.6708436000401545
2023-12-01,2.720070207188568
2023-12-08,2.727274100917605
2023-12-15,2.726673776440185
2023-12-22,2.749486106582133
2023-12-29,2.7578906492660087
2024-01-05,2.7680961653821434
2024-01-12,2.7566900003111696
2024-01-19,2.759691622698268
2024-01-26,2.7458841597176153
2024-02-02,2.7765007080660196
2024-02-08,2.7680961653821448
2024-02-23,2.7488857821047152
2024-03-01,2.770497463291824
2024-03-08,2.898966901459635
2024-03-15,2.907371444143511
2024-03-22,2.9373876680144937
2024-03-29,3.0442454249951973
2024-04-03,3.1066791706468453
2024-04-12,3.2633590210548387
2024-04-19,3.2470051315531197
2024-04-26,3.168575134544066
2024-04-30,3.143321679783405
2024-05-10,3.18933799131793
2024-05-17,3.218125075552839
2024-05-24,3.1603921533166672
2024-05-31,3.174236161287809
2024-06-07,3.206310840682625
2024-06-14,3.1335234305075095
2024-06-21,3.1915107991183467
2024-06-28,3.148772496499851
2024-07-05,3.191059629340457
2024-07-12,3.2267765204474994
2024-07-19,3.2115991394005765
2024-07-26,3.1770888547875438
2024-08-02,3.2558790688440777
2024-08-09,3.2035736127413714
2024-08-16,3.2299592590566264
2024-08-23,3.2554179428645305
2024-08-30,3.264285137914862
2024-09-06,3.261330490699953
2024-09-13,3.309539692976915
2024-09-20,3.3371794829789403
2024-09-27,3.3823446731201336
2024-09-30,3.6990202588669256
2024-10-11,3.553051346304313
2024-10-18,3.7171668653109444
2024-10-25,3.7231087879806704
2024-11-01,3.670465772693864
2024-11-08,3.8563949447015893
2024-11-15,3.7581877590151422
2024-11-22,3.712525246402724
2024-11-29,3.7470761934309915
2024-12-06,3.794612457334472
2024-12-13,3.78905025118057
2024-12-20,3.733736180049378
2024-12-27,3.735032833546292
2025-01-03,3.622807873712215
2025-01-10,3.6289584929455687
2025-01-17,3.6566263694021406
2025-01-24,3.652644589038006
2025-01-27,3.6214616441319354
2025-02-07,3.7775130489575615
2025-02-14,3.832347600862386
2025-02-21,3.910184157792715
2025-02-28,3.8061970268845866
2025-03-07,3.8591499974796086
2025-03-14,3.841810760574447
2025-03-21,3.816870393658137
2025-03-28,3.7977571637365326
2025-04-03,3.803195614252914
2025-04-11,3.773280863995719
2025-04-18,3.7721287890064836
2025-04-25,3.7599984429212103
2025-04-30,3.7440077664669094
2025-05-09,3.762357105757407
2025-05-16,3.7737669534473164
2025-05-23,3.7841655737628987
2025-05-30,3.758938172911172
2025-06-06,3.7911943889890574
2025-06-13,3.8411042818617114
2025-06-20,3.7923384881587197
2025-06-27,3.8432514048662982
2025-07-04,3.8440415903767455
2025-07-11,3.9291452466950476
2025-07-18,3.9773721576360757
2025-07-25,4.017989053738305
2025-08-01,3.9776598822664995
2025-08-08,4.004333786351663
2025-08-15,4.177912074348076
2025-08-22,4.404278616783243
2025-08-29,4.590286120568394
2025-09-05,4.542035467544372
2025-09-12,4.618759744207381
2025-09-19,4.665445712797943
2025-09-26,4.756320005711872
2025-09-30,4.877530293154727
2025-10-10,4.810800494437595
2025-10-17,4.7288472053525545
2025-10-24,4.721090158649974
2025-10-31,4.752912301606342
2025-11-07,4.887756151055792
2025-11-14,4.8479041871866135
2025-11-21,4.6740852865517555
2025-11-28,4.6948110194648365
2025-12-05,4.713353116772157
2025-12-12,4.718916713006418
2025-12-19,4.711005774979796
2025-12-26,4.808998625830329
2025-12-31,4.829524871276708
2026-01-09,5.025983747118483
2026-01-16,5.001537240380787
2026-01-23,5.058233040958481
2026-01-30,4.966553911068808
2026-02-06,4.884560281281931
2026-02-13,4.891996527351342
2026-02-27,5.022286013141658
2026-03-06,5.044255169150912
2026-03-13,5.020688910782845
2026-03-20,4.887681681910387
2026-03-27,4.842899166618357
2026-04-03,4.793830752156287
2026-04-10,4.818148453540597
2026-04-17,4.911933960527651
2026-04-23,4.945109012984869
