mom_w,lam,top_n_a,vol_target,IS_Sh,IS_ann,Val_Sh,Val_ann,OOS_Sh,OOS_ann,OOS_dd
3,2.0,5,0.18,1.759649846390011,0.26398730067720555,1.4223878615389063,0.19815597978350974,1.3139771848128003,0.2464356644937613,-0.12042227961967533
4,1.0,3,0.12,1.7007947184256176,0.20393022832661,1.8502582509151457,0.24066557886848838,2.0636099091190867,0.2946468443856445,-0.06097363553453683
4,1.0,3,0.15,1.7146753174379468,0.2421847396764798,1.72021852334577,0.24090174344712767,2.046452506894497,0.343477722273817,-0.07596646412193353
4,1.0,3,0.18,1.6826633857314615,0.268095716341483,1.734935690451466,0.24805816722828733,2.00616767480303,0.3840845971503044,-0.09085623411663324
4,1.0,4,0.12,1.7951622116000152,0.21540992249816893,1.764780222447601,0.22954841756295918,2.09021307332611,0.2981931075287476,-0.05884684808413054
4,1.0,4,0.15,1.8111338146452323,0.2558955653491677,1.6289153760371382,0.2272851480408602,2.075727859175565,0.3480621935304187,-0.07318306695717247
4,1.0,4,0.18,1.7794213373058205,0.2803426094290553,1.6431813099244983,0.23399735058035542,2.0377654327056964,0.3897324825734274,-0.08737100120361874
4,1.0,5,0.12,1.7874922768536008,0.21430162353121274,1.6610601790564483,0.21434811091724826,2.005609837558699,0.28454927896297066,-0.060327327683064036
4,1.0,5,0.15,1.804366464307167,0.25332239947827007,1.5529501759566717,0.21537799565791294,1.98335533688859,0.3304369482273837,-0.07516564946467319
4,1.0,5,0.18,1.7648204971830583,0.27515553618922395,1.560420971903618,0.22046953845481698,1.9384503378120628,0.36802713290647504,-0.0899036728204351
4,1.5,3,0.12,1.776397471767139,0.21372708876047097,1.77877716741128,0.23068004582410828,1.9742029683653617,0.28200220611722115,-0.0614129849900672
4,1.5,3,0.15,1.7913429227158435,0.25359421186019904,1.6246632685692393,0.22453148103541487,1.9483942130732637,0.3271059858496719,-0.07651297666443724
4,1.5,3,0.18,1.7525914568874315,0.2767366858569764,1.6373185782682746,0.22946534541793295,1.9004920854912437,0.3638801151672111,-0.09150871348311929
4,1.5,4,0.12,1.8657067290238858,0.22422214171653443,1.835182227453578,0.23794561857127738,2.0544261504693386,0.29319483967620097,-0.06092044615202974
4,1.5,4,0.15,1.8890121286520614,0.2667007745385699,1.6982222989946771,0.23579981322724386,2.036354136377284,0.34160392327036937,-0.07590363129403477
4,1.5,4,0.18,1.8544291763028233,0.2906080940152347,1.7097087030262719,0.24145022281572381,1.9952450155276198,0.3817772143928917,-0.09078518914929146
4,1.5,5,0.12,1.7982120000827913,0.21597760576079184,1.647341850535827,0.21286172124135572,2.074059380395332,0.2945488395147795,-0.05921466851819501
4,1.5,5,0.15,1.8004322946820601,0.25261951238381686,1.5505382942949495,0.2160896423197185,2.058394824124691,0.3433812455176346,-0.07375697217276156
4,1.5,5,0.18,1.7511821799406708,0.272923590693519,1.5577467837397705,0.2213571248975854,2.019334522756,0.3839998519796799,-0.08819303275516521
4,2.0,3,0.12,1.740807375529635,0.21309734887701404,1.7802990622134596,0.2339700042579942,1.9873416199959446,0.28291507298765217,-0.06251612521719552
4,2.0,3,0.15,1.7537586396005949,0.2533708043052423,1.6189865314652574,0.22679223804896775,1.963062136783281,0.3283073036289814,-0.07786727542622307
4,2.0,3,0.18,1.7157934821185825,0.2741434268304004,1.625663761552763,0.23234490382147688,1.9164433658707711,0.3653846227318511,-0.093104573647663
4,2.0,4,0.12,1.8403158809541575,0.22183326220004695,1.8291407175685264,0.23717902896566545,2.084003688800946,0.2956216762813786,-0.05631101274860062
4,2.0,4,0.15,1.8555697068988823,0.2622202483861551,1.6912260330257458,0.2348414600271136,2.0694085800572943,0.34479349594986,-0.07016657756779388
4,2.0,4,0.18,1.8073215137383276,0.28140412999422604,1.7022462394818034,0.2404149131871276,2.031294419256183,0.3857704710925718,-0.08393133127118912
4,2.0,5,0.12,1.8109390035919921,0.21817082075979588,1.605478687808544,0.2068408202217218,2.055909618177135,0.29153257188547776,-0.06097746145609062
4,2.0,5,0.15,1.816312392808936,0.2554449834037662,1.507847101273796,0.2090854314020023,2.0386361200845573,0.33948790950912455,-0.07594758481951247
4,2.0,5,0.18,1.759265547918925,0.27331125300869075,1.511976767746755,0.21350485918602113,1.998143821251404,0.37921042445504627,-0.09080587592120348
6,1.0,3,0.12,1.6432371751316395,0.19873649566541363,1.84289795562192,0.23049309955544484,1.9605246251218365,0.275700723292988,-0.07048634020646882
6,1.0,3,0.15,1.645278940213514,0.23346522675940684,1.7458182704063783,0.23071284526796387,1.9349518027566377,0.3190965508565293,-0.08807745998942884
6,1.0,3,0.18,1.6164530519539164,0.25625698565899535,1.7520876235863414,0.2315879332847508,1.8870943385088377,0.3541777580077794,-0.10563764457308
6,1.0,4,0.12,1.6320736534846636,0.19485712787331977,1.5993607009842978,0.19786883623101592,1.9247269830678102,0.26792415974919703,-0.0665055710787048
6,1.0,4,0.15,1.6156276968346666,0.2238243475706827,1.4961820914688848,0.1950590586477523,1.8966917026814745,0.3091377031792175,-0.0831577784103793
6,1.0,4,0.18,1.5814931059164283,0.24596508686009266,1.4994874656644679,0.19550997645192347,1.846555654868484,0.3420204555039976,-0.09980297481445033
